INFO  - 2017-12-05 01:28:03.521; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2017-12-05 01:28:03.529; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/cesar/Apps/solr-4.8.1/example/solr/collection1/data
INFO  - 2017-12-05 01:28:03.530; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/cesar/Apps/solr-4.8.1/example/solr/collection1/data/index/
WARN  - 2017-12-05 01:28:03.531; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/home/cesar/Apps/solr-4.8.1/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2017-12-05 01:28:03.538; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/cesar/Apps/solr-4.8.1/example/solr/collection1/data/index
INFO  - 2017-12-05 01:28:03.562; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/cesar/Apps/solr-4.8.1/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/cesar/Apps/solr-4.8.1/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2017-12-05 01:28:03.563; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2017-12-05 01:28:03.564; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2017-12-05 01:28:03.565; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2017-12-05 01:28:03.565; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2017-12-05 01:28:03.566; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2017-12-05 01:28:03.567; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2017-12-05 01:28:03.607; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2017-12-05 01:28:03.641; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2017-12-05 01:28:03.641; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2017-12-05 01:28:03.643; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2017-12-05 01:28:03.643; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2017-12-05 01:28:03.645; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2017-12-05 01:28:03.645; org.apache.solr.core.RequestHandlers; created /update/json: solr.UpdateRequestHandler
INFO  - 2017-12-05 01:28:03.646; org.apache.solr.core.RequestHandlers; created /update/csv: solr.UpdateRequestHandler
INFO  - 2017-12-05 01:28:03.646; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2017-12-05 01:28:03.646; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2017-12-05 01:28:03.646; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2017-12-05 01:28:03.646; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2017-12-05 01:28:03.646; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2017-12-05 01:28:03.646; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2017-12-05 01:28:03.647; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2017-12-05 01:28:03.649; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2017-12-05 01:28:03.649; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2017-12-05 01:28:03.655; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2017-12-05 01:28:03.655; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-12-05 01:28:03.655; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2017-12-05 01:28:03.655; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-12-05 01:28:03.655; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2017-12-05 01:28:03.655; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-12-05 01:28:03.656; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2017-12-05 01:28:03.656; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-12-05 01:28:03.656; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2017-12-05 01:28:03.656; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-12-05 01:28:03.656; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2017-12-05 01:28:03.664; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-12-05 01:28:03.665; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-12-05 01:28:03.666; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-12-05 01:28:03.675; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2017-12-05 01:28:03.675; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2017-12-05 01:28:03.679; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/cesar/Apps/solr-4.8.1/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/cesar/Apps/solr-4.8.1/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2017-12-05 01:28:03.679; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2017-12-05 01:28:03.682; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@3e93f758[collection1] main
INFO  - 2017-12-05 01:28:03.686; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /home/cesar/Apps/solr-4.8.1/example/solr/collection1/conf
INFO  - 2017-12-05 01:28:03.686; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/home/cesar/Apps/solr-4.8.1/example/solr/collection1/conf/}
INFO  - 2017-12-05 01:28:03.691; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/home/cesar/Apps/solr-4.8.1/example/solr/collection1/conf
WARN  - 2017-12-05 01:28:03.691; org.apache.solr.rest.ManagedResource; No stored data found for /rest/managed
WARN  - 2017-12-05 01:28:03.691; org.apache.solr.rest.ManagedResource; No registered observers for /rest/managed
INFO  - 2017-12-05 01:28:03.692; org.apache.solr.rest.RestManager; Initializing 0 registered ManagedResources
INFO  - 2017-12-05 01:28:03.692; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2017-12-05 01:28:03.694; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2017-12-05 01:28:03.698; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2017-12-05 01:28:03.698; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2017-12-05 01:28:03.699; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2017-12-05 01:28:03.706; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2017-12-05 01:28:03.707; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /home/cesar/Apps/solr-4.8.1/example/solr/collection1/conf/elevate.xml
INFO  - 2017-12-05 01:28:03.723; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2017-12-05 01:28:03.723; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@3e93f758[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2017-12-05 01:28:03.724; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2017-12-05 01:28:03.725; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/home/cesar/Apps/solr-4.8.1/example
INFO  - 2017-12-05 01:28:03.725; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2017-12-05 01:28:03.747; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2017-12-05 01:28:03.754; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false&event=firstSearcher} hits=0 status=0 QTime=29 
INFO  - 2017-12-05 01:28:03.754; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2017-12-05 01:28:03.754; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2017-12-05 01:28:03.754; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2017-12-05 01:28:03.754; org.apache.solr.handler.component.SuggestComponent$SuggesterListener; Loading suggester index for: mySuggester
INFO  - 2017-12-05 01:28:03.755; org.apache.solr.spelling.suggest.SolrSuggester; reload()
